Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3350000.0,2015,96789.0,Petrol,1300 cc,Automatic
Daihatsu Mira L,Karachi,3475000.0,2022,14462.0,Petrol,660 cc,Automatic
Daihatsu Mira L,Karachi,3385000.0,2022,15800.0,Petrol,660 cc,Automatic
Toyota Aqua L,Karachi,3100000.0,2013,119141.0,Hybrid,1500 cc,Automatic
Nissan Patrol 6th (Y62) Generation Ti-L,Karachi,20000000.0,2013,150737.0,Petrol,5600 cc,Automatic
Honda Accord CL9,Karachi,2500000.0,2003,165180.0,Petrol,2400 cc,Automatic
Mitsubishi Galant,Karachi,635000.0,1992,200000.0,CNG,1500 cc,Manual
Toyota Corolla XLi VVTi,Karachi,4299000.0,2019,85000.0,Petrol,1300 cc,Manual
KIA Picanto 1.0 AT,Karachi,3000000.0,2021,29846.0,Petrol,1000 cc,Automatic
Toyota Hilux GR Sport 2.4D,Karachi,17800000.0,2025,1.0,Diesel,2400 cc,Automatic
Suzuki Cultus VXR,Karachi,800000.0,2007,100000.0,Petrol,1000 cc,Manual
Suzuki Alto VXL AGS,Karachi,3150000.0,2024,27614.0,Petrol,660 cc,Automatic
Suzuki Mehran VXR,Karachi,495000.0,2007,8000.0,Petrol,800 cc,Manual
MG HS Trophy,Karachi,5900000.0,2021,21268.0,Petrol,1500 cc,Automatic
KIA Sorento 2.4 FWD,Karachi,7450000.0,2021,18727.0,Petrol,2400 cc,Automatic
Suzuki Khyber GA,Karachi,265000.0,1990,600000.0,Petrol,1000 cc,Manual
Mazda Scrum Wagon,Karachi,2900000.0,2020,114000.0,Petrol,660 cc,Automatic
Daihatsu Mira L,Karachi,2200000.0,2015,140000.0,Petrol,660 cc,Automatic
Daihatsu Mira G SA III,Karachi,3995000.0,2024,7414.0,Petrol,660 cc,Automatic
Suzuki Alto VXR,Karachi,650000.0,2006,200000.0,Petrol,1000 cc,Manual
Suzuki Cultus VXL,Karachi,4000000.0,2024,30632.0,Petrol,1000 cc,Manual
Daihatsu Mira X Memorial Edition,Karachi,2700000.0,2015,88000.0,Petrol,660 cc,Automatic
Daihatsu Hijet,Karachi,2375000.0,2020,88000.0,Petrol,660 cc,Automatic
Honda Civic 7th Generation (Facelift) EXi,Karachi,1475000.0,2006,123456.0,Petrol,1500 cc,Manual
Suzuki Every Wagon JP,Karachi,1685000.0,2012,85200.0,Petrol,660 cc,Automatic
Toyota Aqua G LED Soft Leather Selection,Karachi,3879999.0,2015,79000.0,Hybrid,1500 cc,Automatic
Suzuki Alto VXR,Karachi,630000.0,2006,110000.0,Petrol,1000 cc,Manual
MG ZS 1.5L,Karachi,5400000.0,2022,31000.0,Petrol,1490 cc,Automatic
KIA Picanto 1.0 MT,Karachi,2850000.0,2023,39673.0,Petrol,1000 cc,Manual
Honda Civic 7th Generation (Facelift) VTi Oriel UG Prosmatec 1.6,Karachi,2275000.0,2006,171000.0,Petrol,1600 cc,Automatic
Toyota Raize Z,Karachi,6150000.0,2020,25000.0,Petrol,1000 cc,Automatic
Honda Civic Oriel Prosmatec UG,Karachi,3779999.0,2015,59000.0,Petrol,1800 cc,Automatic
Daihatsu Mira X Memorial Edition,Karachi,2425000.0,2014,98500.0,Petrol,660 cc,Automatic
Toyota Raize G,Karachi,5750000.0,2020,38000.0,Petrol,1000 cc,Automatic
Honda Civic Oriel Prosmatec UG,Karachi,3250000.0,2013,115000.0,Petrol,1800 cc,Automatic
Suzuki Alto,Karachi,3700000.0,2022,37000.0,Petrol,660 cc,Automatic
Daihatsu Charade CL,Karachi,370000.0,1986,150000.0,Diesel,1000 cc,Manual
Honda Civic EXi Automatic,Karachi,1000000.0,2000,208768.0,Petrol,1500 cc,Automatic
Suzuki Wagon R Hybrid FZ,Karachi,2950000.0,2018,170783.0,Hybrid,660 cc,Automatic
Mazda Flair XG,Karachi,1700000.0,2013,353374.0,Petrol,660 cc,Automatic
Toyota Corolla 9th (E120) Generation XLi,Karachi,1930000.0,2006,128259.0,Petrol,1300 cc,Manual
Daihatsu Cuore CX Eco,Karachi,640000.0,2006,154444.0,Petrol,800 cc,Manual
Toyota Estima X,Karachi,5200000.0,2012,275287.0,Hybrid,2400 cc,Automatic
Toyota Passo X,Karachi,2500000.0,2012,162235.0,Petrol,1000 cc,Automatic
Toyota Vitz Hybrid F 1.5,Karachi,4500000.0,2017,93000.0,Hybrid,1500 cc,Automatic
KIA Sportage AWD,Karachi,7050000.0,2021,87000.0,Petrol,2000 cc,Automatic
Changan Karvaan Plus,Karachi,1800000.0,2020,79000.0,Petrol,1000 cc,Manual
Suzuki Wagon R VXL,Karachi,1914999.0,2015,150000.0,Petrol,1000 cc,Manual
Daihatsu Mira X SA lll,Karachi,3899000.0,2024,11827.0,Petrol,660 cc,Automatic
Proton X70 Premium FWD,Karachi,6500000.0,2022,56000.0,Petrol,1500 cc,Automatic
United Bravo Base Grade,Karachi,875000.0,2020,68000.0,Petrol,800 cc,Automatic
Honda Civic Reborn VTi Prosmatec 1.8 i-VTEC,Karachi,2675000.0,2009,71000.0,Petrol,1800 cc,Automatic
Suzuki Cultus Auto Gear Shift,Karachi,2850000.0,2018,96000.0,Petrol,1000 cc,Automatic
Daihatsu Hijet,Karachi,2365000.0,2019,155000.0,Petrol,660 cc,Automatic
Daihatsu Cuore CX,Karachi,700000.0,2005,138436.0,Petrol,800 cc,Manual
Suzuki Cultus VXR,Karachi,3765000.0,2024,6000.0,Petrol,1000 cc,Manual
Honda City 6th Generation 1.5L ASPIRE CVT,Karachi,4925000.0,2022,47000.0,Petrol,1500 cc,Automatic
Honda City 6th Generation 1.2L CVT,Karachi,4880000.0,2025,12000.0,Petrol,1200 cc,Automatic
Suzuki Alto G,Karachi,2025000.0,2012,86000.0,Petrol,660 cc,Automatic
Honda BR-V i-VTEC S,Karachi,5350000.0,2022,98000.0,Petrol,1500 cc,Automatic
Nissan Dayz Highway Star S hybrid X pro pilot,Karachi,3250000.0,2019,81700.0,Hybrid,660 cc,Automatic
Toyota Pixis Epoch X,Karachi,1700000.0,2013,300000.0,Petrol,660 cc,Automatic
Suzuki Bolan VX Euro II,Karachi,2165000.0,2024,50.0,Petrol,800 cc,Manual
Nissan Dayz Highway Star S hybrid X pro pilot,Karachi,3650000.0,2019,19000.0,Hybrid,660 cc,Automatic
Haval H6 2.0T AWD,Karachi,10600000.0,2024,27800.0,Petrol,2000 cc,Automatic
Honda City 6th Generation 1.5L CVT,Karachi,4475000.0,2022,23000.0,Petrol,1500 cc,Automatic
Mercedes Benz E Class 4th (W212) Generation E63 AMG,Karachi,19500000.0,2014,5000.0,Petrol,5500 cc,Automatic
Hyundai Tucson Hybrid Signature,Karachi,12500000.0,2025,1100.0,Hybrid,1600 cc,Automatic
Suzuki Cultus VXLi,Karachi,1080000.0,2009,48000.0,Petrol,1000 cc,Manual
Suzuki Bolan VX Euro II,Karachi,750000.0,2013,45000.0,Petrol,800 cc,Manual
Toyota Corolla Altis Grande CVT-i 1.8,Karachi,5650000.0,2020,70600.0,Petrol,1800 cc,Automatic
KIA Sportage AWD,Karachi,6950000.0,2021,51200.0,Petrol,2000 cc,Automatic
Toyota Alphard,Karachi,4200000.0,2004,165000.0,Petrol,3000 cc,Automatic
Toyota Hiace,Karachi,11000000.0,2020,59000.0,Petrol,2700 cc,Automatic
Toyota Hilux Revo GR Sport,Karachi,16800000.0,2022,13000.0,Diesel,2400 cc,Automatic
Nissan Dayz Bolero X,Karachi,2350000.0,2015,68000.0,Petrol,660 cc,Automatic
Nissan Dayz Highway Star X,Karachi,2245000.0,2013,90000.0,Petrol,660 cc,Automatic
BAIC BJ40 Plus Honorable Edition,Karachi,8100000.0,2022,45752.0,Petrol,2000 cc,Automatic
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Karachi,6300000.0,2021,92000.0,Petrol,1800 cc,Automatic
Suzuki Swift RS 1.2,Karachi,2990000.0,2013,61500.0,Petrol,1200 cc,Automatic
Suzuki Alto VXR,Karachi,2475000.0,2025,30890.0,Petrol,660 cc,Manual
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4400000.0,2017,88000.0,Petrol,1800 cc,Automatic
Changan Alsvin 1.5L DCT Lumiere,Karachi,3625000.0,2022,31000.0,Petrol,1500 cc,Automatic
Honda City Aspire Prosmatec 1.5 i-VTEC,Karachi,4000000.0,2020,77000.0,Petrol,1500 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2795000.0,2022,44200.0,Petrol,660 cc,Automatic
Honda City 1.5L ASPIRE CVT,Karachi,5600000.0,2023,6700.0,Petrol,1500 cc,Automatic
United Bravo Base Grade,Karachi,875000.0,2021,74000.0,Petrol,800 cc,Manual
Honda N One Premium Tourer,Karachi,4150000.0,2023,3900.0,Petrol,658 cc,Automatic
Honda Civic VTi Oriel Prosmatec 1.6,Karachi,1900000.0,2004,104000.0,Petrol,1600 cc,Automatic
Toyota Raize Z,Karachi,6900000.0,2021,32000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6600000.0,2021,28261.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6350000.0,2020,13548.0,Petrol,1000 cc,Automatic
Suzuki Alto VXR AGS,Karachi,2770000.0,2023,65000.0,Petrol,660 cc,Automatic
Toyota Vitz 1.0F Safety Edition III,Karachi,4000000.0,2017,103000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6100000.0,2020,84000.0,Petrol,1000 cc,Automatic
KIA Picanto 1.0 AT,Karachi,3100000.0,2023,25000.0,Petrol,1000 cc,Automatic
Hyundai Sonata 2.5,Karachi,9500000.0,2022,29000.0,Petrol,2500 cc,Automatic
Honda City,Karachi,1630000.0,2025,250000.0,Petrol,1300 cc,Manual
Suzuki Alto VXR,Karachi,1165000.0,2012,112000.0,Petrol,1000 cc,Manual
Toyota Corolla Altis Automatic 1.6,Karachi,4095000.0,2017,78000.0,Petrol,1600 cc,Automatic
Suzuki Swift GL CVT Limited Edition,Karachi,3995000.0,2022,40000.0,Petrol,1200 cc,Automatic
Toyota Raize Z,Karachi,5800000.0,2019,72000.0,Petrol,1000 cc,Automatic
Hyundai Elantra GL,Karachi,4900000.0,2022,59000.0,Petrol,1600 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2550000.0,2021,58000.0,Petrol,660 cc,Automatic
Daihatsu Mira L SA,Karachi,2375000.0,2016,62000.0,Petrol,660 cc,Automatic
Mazda Axela,Karachi,2400000.0,2006,98000.0,Petrol,1600 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5250000.0,2019,56000.0,Petrol,1800 cc,Automatic
KIA Sportage AWD,Karachi,6300000.0,2020,130000.0,Petrol,2000 cc,Automatic
Suzuki Swift DLX Automatic 1.3,Karachi,2150000.0,2014,125000.0,Petrol,1300 cc,Automatic
Suzuki Cultus VXR,Karachi,3250000.0,2021,24000.0,Petrol,1000 cc,Manual
Honda Civic Oriel Prosmatec UG,Karachi,3495000.0,2016,102000.0,Petrol,1800 cc,Automatic
Toyota Corolla Altis 1.6 X CVT-i Special Edition,Karachi,5950000.0,2022,40000.0,Petrol,1600 cc,Automatic
Suzuki Liana LXi Sport,Karachi,1080000.0,2006,81500.0,Petrol,1300 cc,Manual
KIA Stonic EX+,Karachi,5025000.0,2025,8200.0,Petrol,1400 cc,Automatic
Daihatsu Mira X Memorial Edition,Karachi,1725000.0,2007,97813.0,Petrol,660 cc,Automatic
Toyota Raize Z,Karachi,6260000.0,2021,37000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,5725000.0,2020,132000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6050000.0,2020,26000.0,Petrol,1000 cc,Automatic
Suzuki Bolan VX,Karachi,750000.0,2010,100000.0,Petrol,800 cc,Manual
Suzuki Alto Hybrid S,Karachi,3675000.0,2022,55000.0,Hybrid,660 cc,Automatic
Toyota Corolla Fielder Hybrid G WB,Karachi,5450000.0,2017,122000.0,Hybrid,1500 cc,Automatic
Toyota Corolla Altis Grande CVT-i 1.8,Karachi,4050000.0,2015,118000.0,Petrol,1800 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4750000.0,2017,87000.0,Petrol,1800 cc,Automatic
Toyota Raize G,Karachi,5450000.0,2020,50000.0,Petrol,1000 cc,Automatic
Toyota Raize Z,Karachi,6150000.0,2020,41000.0,Petrol,1000 cc,Automatic
Toyota Tundra 5.7i,Karachi,14700000.0,2014,77000.0,Petrol,5700 cc,Automatic
Suzuki Cultus Auto Gear Shift,Karachi,2750000.0,2018,80000.0,Petrol,1000 cc,Automatic
Suzuki Cultus Auto Gear Shift,Karachi,3120000.0,2021,80000.0,Petrol,1000 cc,Automatic
Suzuki Alto VXR,Karachi,2275000.0,2020,45000.0,Petrol,660 cc,Manual
Hyundai Elantra GLS,Karachi,6100000.0,2022,31000.0,Petrol,2000 cc,Automatic
MG HS PHEV,Karachi,9295000.0,2025,198.0,Hybrid,1500 cc,Automatic
Toyota Corolla Altis 1.6 X CVT-i,Karachi,6150000.0,2023,28000.0,Petrol,1600 cc,Automatic
Honda Civic EXi Prosmatec,Karachi,1639999.0,2005,180000.0,Petrol,1500 cc,Automatic
Suzuki Cultus VXR,Karachi,944999.0,2006,130000.0,Petrol,1000 cc,Manual
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5145000.0,2018,53170.0,Petrol,1800 cc,Automatic
Suzuki Alto VXR,Karachi,1150000.0,2011,50000.0,Petrol,1000 cc,Manual
Toyota Prado 3rd (J120) Generation TX Limited 3.4,Karachi,7750000.0,2005,75000.0,Petrol,3400 cc,Automatic
Toyota Hilux Revo V Automatic 2.8,Karachi,12400000.0,2021,15000.0,Diesel,2800 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2950000.0,2023,37800.0,Petrol,660 cc,Automatic
Honda City Aspire Prosmatec 1.5 i-VTEC,Karachi,3795000.0,2018,80000.0,Petrol,1500 cc,Automatic
Toyota Vitz F 1.0,Karachi,2700000.0,2013,150000.0,Petrol,1000 cc,Automatic
Toyota Yaris Sedan ATIV CVT 1.3,Karachi,4625000.0,2022,26000.0,Petrol,1300 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4650000.0,2017,73000.0,Petrol,1800 cc,Automatic
Toyota Raize Z,Karachi,6050000.0,2020,14000.0,Petrol,1000 cc,Automatic
Subaru Pleo,Karachi,3375000.0,2022,10900.0,Petrol,660 cc,Automatic
Toyota Raize G,Karachi,5735000.0,2020,8800.0,Petrol,1000 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5475000.0,2020,68000.0,Petrol,1800 cc,Automatic
Hyundai Tucson AWD A/T Ultimate,Karachi,8450000.0,2024,20000.0,Petrol,2000 cc,Automatic
Toyota Raize Z,Karachi,6450000.0,2020,49000.0,Petrol,1000 cc,Automatic
Hyundai Elantra Hybrid,Karachi,9900000.0,2025,15000.0,Hybrid,1600 cc,Automatic
Suzuki Alto VXR,Karachi,2780000.0,2024,40000.0,Petrol,660 cc,Manual
Toyota Corolla Altis SR Cruisetronic 1.6,Karachi,3750000.0,2013,160000.0,Petrol,1600 cc,Automatic
Toyota Raize Z,Karachi,6450000.0,2020,38700.0,Petrol,1000 cc,Automatic
Toyota Hilux Revo V Automatic 2.8,Karachi,14800000.0,2025,25.0,Diesel,2800 cc,Automatic
Suzuki Cultus VXR,Karachi,650000.0,2004,110000.0,Petrol,1000 cc,Manual
United Bravo Base Grade,Karachi,900000.0,2019,34500.0,Petrol,800 cc,Manual
Toyota Corolla XLi VVTi,Karachi,3400000.0,2017,134000.0,Petrol,1300 cc,Manual
Suzuki Alto VXR,Karachi,2280000.0,2021,57863.0,Petrol,660 cc,Manual
Toyota Passo Plus Hana C,Karachi,2775000.0,2014,86000.0,Petrol,1000 cc,Automatic
Suzuki Alto L Upgrade,Karachi,3325000.0,2025,6770.0,Petrol,660 cc,Automatic
Suzuki Alto L,Karachi,2740000.0,2018,26500.0,Petrol,660 cc,Automatic
Nissan Wingroad,Karachi,1720000.0,2006,174000.0,Petrol,1500 cc,Automatic
Suzuki Jimny,Karachi,4150000.0,2020,87000.0,Petrol,660 cc,Manual
Suzuki Every 6th Generation (Imported) PU,Karachi,2825000.0,2021,88000.0,Petrol,660 cc,Automatic
Toyota Belta X 1.0,Karachi,1950000.0,2006,130000.0,Petrol,1000 cc,Automatic
Honda City 5th (GM2) Generation Aspire Prosmatec 1.5 i-VTEC,Karachi,3600000.0,2015,91000.0,Petrol,1500 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,31500000.0,2021,45000.0,Petrol,2700 cc,Automatic
Toyota Prado TX 2.7,Karachi,26600000.0,2021,32000.0,Petrol,2700 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,29200000.0,2021,22000.0,Petrol,2700 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,31500000.0,2021,17600.0,Petrol,2700 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,30299999.0,2021,44000.0,Petrol,2700 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,30500000.0,2021,16000.0,Petrol,2700 cc,Automatic
Toyota Prado TX 2.7,Karachi,26300000.0,2021,45000.0,Petrol,2700 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,27799999.0,2020,46000.0,Petrol,2700 cc,Automatic
Toyota Land Cruiser ZX Gasoline 3.5L,Karachi,62800000.0,2022,9200.0,Petrol,3500 cc,Automatic
Suzuki Bolan VX,Karachi,700000.0,2005,40000.0,Petrol,800 cc,Manual
Suzuki Bolan VX,Karachi,880000.0,2010,48.0,Petrol,800 cc,Manual
Lamborghini Urus Performante,Karachi,177500000.0,2020,15000.0,Petrol,4000 cc,Automatic
Suzuki Alto VXR,Karachi,2610000.0,2023,28000.0,Petrol,660 cc,Manual
Daihatsu Mira L SA III,Karachi,3475000.0,2021,13000.0,Petrol,660 cc,Automatic
Toyota Prius S 1.5,Karachi,3400000.0,2011,74000.0,Hybrid,1500 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2700000.0,2022,26000.0,Petrol,660 cc,Automatic
Daihatsu Taft G Turbo,Karachi,4650000.0,2022,1500.0,Petrol,660 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3726000.0,2019,121000.0,Petrol,1300 cc,Automatic
Peugeot Allure,Karachi,5300000.0,2022,50000.0,Petrol,1200 cc,Automatic
FAW X-PV Dual AC,Karachi,925000.0,2015,52000.0,Petrol,1000 cc,Manual
Daihatsu Mira X SA lll,Karachi,3950000.0,2023,500.0,Petrol,660 cc,Automatic
Toyota Raize Z,Karachi,6300000.0,2022,43000.0,Petrol,1000 cc,Automatic
Daihatsu Cuore,Karachi,585000.0,2001,500000.0,Petrol,800 cc,Manual
Toyota Corolla Altis Automatic 1.8,Karachi,1800000.0,2005,220000.0,Petrol,1800 cc,Automatic
Honda City 5th (GM2) Generation 1.3 i-VTEC,Karachi,4300000.0,2021,40000.0,Petrol,1300 cc,Manual
Suzuki Mehran VXR (CNG),Karachi,800000.0,2010,550000.0,Petrol,800 cc,Manual
Toyota Yaris Sedan GLI CVT 1.3,Karachi,4490000.0,2023,17125.0,Petrol,1300 cc,Automatic
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,3650000.0,2019,42000.0,Petrol,1300 cc,Automatic
Toyota Yaris Hatchback X,Karachi,4450000.0,2022,70000.0,Petrol,1000 cc,Automatic
Honda Civic Rebirth VTi Prosmatec 1.8 i-VTEC,Karachi,3000000.0,2013,105000.0,Petrol,1800 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,3885000.0,2018,94000.0,Petrol,1800 cc,Automatic
Toyota Prado TX L Package 2.7,Karachi,27799999.0,2020,47000.0,Petrol,2700 cc,Automatic
Toyota Vitz F Limited 1.0,Karachi,2775000.0,2013,72000.0,Petrol,1000 cc,Automatic
Toyota Camry High Grade,Karachi,18000000.0,2021,35000.0,Hybrid,2500 cc,Automatic
Daihatsu Mira X SA lll,Karachi,3379999.0,2021,45000.0,Petrol,660 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2900000.0,2023,39000.0,Petrol,660 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4650000.0,2017,90000.0,Petrol,1800 cc,Automatic
Toyota Hilux Revo GR Sport,Karachi,15000000.0,2021,58000.0,Diesel,2400 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5150000.0,2019,71000.0,Petrol,1800 cc,Automatic
Toyota Raize XS,Karachi,5400000.0,2021,40200.0,Petrol,1000 cc,Automatic
Toyota Corolla Altis Automatic 1.6,Karachi,4850000.0,2020,47300.0,Petrol,1600 cc,Automatic
Suzuki Every,Karachi,2850000.0,2017,175000.0,Petrol,660 cc,Automatic
Toyota Harrier,Karachi,2375000.0,2003,100000.0,Petrol,2400 cc,Automatic
Nissan Serena e-POWER Highway Star,Karachi,6700000.0,2019,96777.0,Hybrid,1200 cc,Automatic
Suzuki Swift GLX CVT,Karachi,4300000.0,2022,52000.0,Petrol,1200 cc,Automatic
Suzuki Cultus EURO II,Karachi,1450000.0,2014,71000.0,Petrol,1000 cc,Manual
Changan Karvaan Base Model 1.0,Karachi,2650000.0,2022,47000.0,Petrol,1000 cc,Manual
Mercedes Benz S Class,Karachi,27500000.0,2012,20000.0,Petrol,6203 cc,Automatic
Suzuki Mehran VX (CNG),Karachi,575000.0,2006,147000.0,Petrol,800 cc,Manual
Suzuki Alto VXR,Karachi,850000.0,2008,282206.0,Petrol,1000 cc,Manual
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4550000.0,2017,91000.0,Petrol,1800 cc,Automatic
Toyota Yaris Sedan ATIV CVT 1.3,Karachi,3800000.0,2021,70000.0,Petrol,1300 cc,Automatic
Toyota Corolla Altis SR Cruisetronic 1.8,Karachi,2935000.0,2011,89000.0,Petrol,1800 cc,Automatic
Mitsubishi Pajero GLX 3.2D,Karachi,4850000.0,2000,145000.0,Diesel,3200 cc,Automatic
Toyota Corolla GLi 1.3 VVTi,Karachi,2550000.0,2011,103000.0,Petrol,1300 cc,Manual
Suzuki Cultus VXL,Karachi,2750000.0,2019,154000.0,Petrol,1000 cc,Manual
Honda City 5th (GM2) Generation 1.3 i-VTEC Prosmatec,Karachi,2485000.0,2011,11500.0,Petrol,1300 cc,Automatic
Porsche Taycan,Karachi,32000000.0,2021,12000.0,Electric,71.0 kWh,Automatic
Toyota Passo,Karachi,1925000.0,2012,87000.0,Petrol,1000 cc,Automatic
Toyota Passo X,Karachi,1700000.0,2008,190673.0,Petrol,1000 cc,Automatic
Suzuki Alto L Upgrade,Karachi,3040000.0,2021,53000.0,Petrol,660 cc,Automatic
Toyota Sienta X,Karachi,5000000.0,2017,124000.0,Hybrid,1500 cc,Automatic
Toyota Land Cruiser 79 Series 30th Anniversary,Karachi,4500000.0,1993,156580.0,Diesel,3000 cc,Manual
Suzuki Cultus EURO II,Karachi,1375000.0,2013,88000.0,Petrol,1000 cc,Manual
Honda City i-DSI Vario,Karachi,2500000.0,2008,115000.0,Petrol,1300 cc,Automatic
Toyota Hilux Revo V Automatic 2.8,Karachi,22700000.0,2022,48500.0,Diesel,2800 cc,Automatic
Toyota Vitz F 1.0,Karachi,2350000.0,2011,88000.0,Petrol,1000 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,5720000.0,2020,73000.0,Petrol,1800 cc,Automatic
Honda Fit Shuttle Hybrid 1.3,Karachi,3250000.0,2014,295000.0,Hybrid,1300 cc,Automatic
Toyota Raize G,Karachi,5650000.0,2020,55000.0,Petrol,1000 cc,Automatic
Toyota Yaris Sedan GLI MT 1.3,Karachi,3700000.0,2022,67000.0,Petrol,1300 cc,Manual
Toyota Corolla Altis Grande CVT-i 1.8,Karachi,3779999.0,2014,93000.0,Petrol,1800 cc,Automatic
Suzuki Cultus Auto Gear Shift,Karachi,3400000.0,2019,18613.0,Petrol,1000 cc,Automatic
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,Karachi,6150000.0,2021,53000.0,Petrol,1800 cc,Automatic
Mercedes Benz C Class C180 Avantgarde,Karachi,13500000.0,2017,37000.0,Petrol,1600 cc,Automatic
Toyota Prius G 1.8,Karachi,4000000.0,2010,174278.0,Hybrid,1800 cc,Automatic
BMW 7 Series 735i,Karachi,3800000.0,2004,100000.0,Petrol,3600 cc,Automatic
Toyota Prius S LED Edition 1.8,Karachi,4200000.0,2013,117000.0,Hybrid,1800 cc,Automatic
Lexus LX Series LX 600 Ultra Luxury,Karachi,101500000.0,2022,5000.0,Petrol,3500 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3675000.0,2016,80000.0,Petrol,1300 cc,Automatic
Honda Vezel Hybrid Z,Karachi,4075000.0,2014,97000.0,Hybrid,1500 cc,Automatic
Toyota Raize Z,Karachi,6150000.0,2020,40000.0,Petrol,1000 cc,Automatic
Suzuki Alto VXR (CNG),Karachi,650000.0,2003,247641.0,CNG,1000 cc,Manual
Toyota Raize Z,Karachi,6550000.0,2021,11000.0,Petrol,1000 cc,Automatic
Daihatsu Mira X SA lll,Karachi,3570000.0,2022,41000.0,Petrol,660 cc,Automatic
Mazda Carol GL,Karachi,3100000.0,2021,29000.0,Petrol,660 cc,Automatic
Daihatsu Mira B SA III,Karachi,3475000.0,2022,41000.0,Petrol,660 cc,Automatic
Suzuki Cultus VXL,Karachi,3650000.0,2022,29380.0,Petrol,1000 cc,Manual
MG HS Trophy,Karachi,6300000.0,2021,42000.0,Petrol,1500 cc,Automatic
Mitsubishi Pajero,Karachi,1575000.0,1990,111222.0,Petrol,2200 cc,Manual
Toyota Fortuner 2.7 V,Karachi,13400000.0,2021,39000.0,Petrol,2700 cc,Automatic
Suzuki Bolan,Karachi,350000.0,1985,15000.0,Petrol,800 cc,Manual
Suzuki Alto VXR,Karachi,1225000.0,2012,64000.0,Petrol,1000 cc,Manual
Toyota Hilux Revo V Automatic 2.8,Karachi,12000000.0,2021,46500.0,Diesel,2800 cc,Automatic
Hyundai Tucson FWD A/T GLS Sport,Karachi,7095000.0,2022,53545.0,Petrol,2000 cc,Automatic
KIA Sportage AWD,Karachi,6700000.0,2021,64000.0,Petrol,2000 cc,Automatic
Toyota Corolla Axio WXB,Karachi,6000000.0,2017,108000.0,Petrol,1500 cc,Automatic
Suzuki Alto Hybrid S LED,Karachi,3525000.0,2022,16008.0,Hybrid,660 cc,Automatic
Honda Civic Oriel 1.8 i-VTEC CVT,Karachi,4500000.0,2017,111000.0,Petrol,1800 cc,Automatic
Hyundai Tucson Hybrid Signature,Karachi,12100000.0,2025,7000.0,Hybrid,1600 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2400000.0,2020,57000.0,Petrol,660 cc,Automatic
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Karachi,6250000.0,2022,69500.0,Petrol,1800 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3970000.0,2019,67100.0,Petrol,1300 cc,Automatic
Toyota Corolla Altis Automatic 1.6,Karachi,4700000.0,2018,116432.0,Petrol,1600 cc,Automatic
Nissan Note e-Power Aura G Leather Edition,Karachi,7900000.0,2022,47787.0,Hybrid,1198 cc,Automatic
Changan Alsvin 1.5L DCT Lumiere,Karachi,3650000.0,2022,33690.0,Petrol,1500 cc,Automatic
Hyundai Tucson AWD A/T Ultimate,Karachi,7100000.0,2021,38000.0,Petrol,2000 cc,Automatic
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,Karachi,6875000.0,2023,40000.0,Petrol,1800 cc,Automatic
