Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Toyota Corolla GLi 1.3 VVTi,Karachi,3100000.0,2013,118000.0,Petrol,1300 cc,Manual
Suzuki Alto VXR (CNG),Karachi,1150000.0,2011,104000.0,Petrol,1000 cc,Manual
Suzuki Alto VXR,Karachi,1000000.0,2009,95000.0,Petrol,1000 cc,Manual
Toyota C-HR G-LED,Karachi,7400000.0,2018,84300.0,Hybrid,1800 cc,Automatic
Daihatsu Hijet Deluxe,Karachi,1500000.0,2012,128000.0,Petrol,660 cc,Automatic
Toyota Prius,Karachi,3995000.0,2013,136000.0,Hybrid,1800 cc,Automatic
Honda Civic Oriel,Karachi,7800000.0,2023,19500.0,Petrol,1500 cc,Automatic
MG HS Trophy,Karachi,6290000.0,2022,52888.0,Petrol,1500 cc,Automatic
Haval H6 HEV,Karachi,11299999.0,2024,19600.0,Hybrid,1500 cc,Automatic
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,4350000.0,2019,62000.0,Petrol,1300 cc,Automatic
Toyota Raize Z,Karachi,6300000.0,2020,49000.0,Petrol,1000 cc,Automatic
Honda Civic Reborn VTi Prosmatec 1.8 i-VTEC,Karachi,2350000.0,2011,94723.0,Petrol,1800 cc,Automatic
Toyota Hilux Revo GR-S,Karachi,15200000.0,2023,32000.0,Diesel,2800 cc,Automatic
Toyota Corolla Altis X Automatic 1.6,Karachi,5650000.0,2022,39000.0,Petrol,1598 cc,Automatic
Audi A6 40 TFSI S-Line,Karachi,24000000.0,2020,14453.0,Petrol,2000 cc,Automatic
Toyota Corolla Altis Automatic 1.6,Karachi,5000000.0,2019,29971.0,Petrol,1600 cc,Automatic
Daihatsu Mira L,Karachi,3465000.0,2022,14800.0,Petrol,660 cc,Automatic
Toyota Aqua G,Karachi,3400000.0,2013,108000.0,Hybrid,1500 cc,Automatic
Toyota Yaris Sedan ATIV CVT 1.3,Karachi,4900000.0,2024,17500.0,Petrol,1300 cc,Automatic
Toyota Corolla XLi VVTi,Karachi,3500000.0,2014,102984.0,Petrol,1300 cc,Manual
Toyota Corolla GLi Automatic 1.3 VVTi,Karachi,3600000.0,2015,82000.0,Petrol,1300 cc,Automatic
Suzuki Alto VXL AGS,Karachi,2925000.0,2024,22000.0,Petrol,660 cc,Automatic
Suzuki Khyber GA,Karachi,190000.0,1992,1234.0,Petrol,1000 cc,Manual
Audi e-tron 50 quattro 230 kW,Karachi,16800000.0,2021,19056.0,Electric,60.0 kWh,Automatic
Chevrolet Joy,Karachi,700000.0,2009,200328.0,Petrol,1000 cc,Manual
Toyota Roomy XS,Karachi,3700000.0,2020,41032.0,Petrol,996 cc,Automatic
Toyota Hilux Revo V Automatic 2.8,Karachi,10800000.0,2020,50738.0,Diesel,2800 cc,Automatic
